"scenario","seed","signal","noise","missingness","method","subspace_angle_deg","inverse_count_correlation","contrast_error","interval_covered","null_reject","null_p","high_count_influence","empty_cell_fraction"
1,73118,"null","iid","mcar","random_effects",NA,0.0949852088920217,NA,0,0,0.404,0.100166638840258,0.142592592592593
1,73118,"null","iid","mcar","iid_analytic",NA,0.00194314481380502,NA,1,0,0.404,0.0653969029336676,0.142592592592593
1,73118,"null","iid","mcar","covariance_analytic",NA,0.00194314481380499,NA,1,0,0.404,0.0653969029336676,0.142592592592593
1,73118,"null","iid","mcar","split_half",NA,0.0489831599730647,NA,1,0,0.404,0.263314533814697,0.142592592592593
1,73119,"null","iid","mcar","legacy",NA,0.200629437501168,NA,0,0,0.352,0.0653278298498887,0.140740740740741
1,73119,"null","iid","mcar","count",NA,0.108346266553926,NA,0,0,0.352,0.0958074629321428,0.140740740740741
1,73119,"null","iid","mcar","explicit_precision",NA,0.10149816333126,NA,0,0,0.352,0.0959766008125214,0.140740740740741
1,73119,"null","iid","mcar","random_effects",NA,0.108346266553926,NA,0,0,0.352,0.0958074629321428,0.140740740740741
1,73119,"null","iid","mcar","iid_analytic",NA,0.0146672831187702,NA,1,0,0.352,0.0653278298498887,0.140740740740741
1,73119,"null","iid","mcar","covariance_analytic",NA,0.0146672831187702,NA,1,0,0.352,0.0653278298498887,0.140740740740741
1,73119,"null","iid","mcar","split_half",NA,0.35146291005326,NA,1,0,0.352,0.265539349757486,0.140740740740741
1,73120,"null","iid","mcar","legacy",NA,0.237753926405198,NA,0,0,0.956,0.0662930043812397,0.153703703703704
1,73120,"null","iid","mcar","count",NA,0.245649043978126,NA,0,0,0.956,0.100829313734277,0.153703703703704
1,73120,"null","iid","mcar","explicit_precision",NA,0.256706941664515,NA,0,0,0.956,0.102003110623074,0.153703703703704
1,73120,"null","iid","mcar","random_effects",NA,0.245649043978126,NA,0,0,0.956,0.100829313734277,0.153703703703704
1,73120,"null","iid","mcar","iid_analytic",NA,0.0425839898911483,NA,1,0,0.956,0.0662930043812397,0.153703703703704
1,73120,"null","iid","mcar","covariance_analytic",NA,0.0425839898911488,NA,1,0,0.956,0.0662930043812397,0.153703703703704
1,73120,"null","iid","mcar","split_half",NA,0.150386792992441,NA,1,0,0.956,0.249081321285029,0.153703703703704
2,73101,"null","heteroscedastic","response","legacy",NA,0.634726365701713,NA,0,0,0.608,0.0695257778713661,0.177777777777778
2,73101,"null","heteroscedastic","response","count",NA,0.63069293419168,NA,0,0,0.608,0.105137301720705,0.177777777777778
2,73101,"null","heteroscedastic","response","explicit_precision",NA,0.632733950564271,NA,0,0,0.608,0.105049783702657,0.177777777777778
2,73101,"null","heteroscedastic","response","random_effects",NA,0.63069293419168,NA,0,0,0.608,0.105137301720705,0.177777777777778
2,73101,"null","heteroscedastic","response","iid_analytic",NA,0.58621347880181,NA,1,0,0.608,0.0695257778713661,0.177777777777778
2,73101,"null","heteroscedastic","response","covariance_analytic",NA,0.264272368343335,NA,1,0,0.608,0.0695257778713661,0.177777777777778
2,73101,"null","heteroscedastic","response","split_half",NA,0.50619636995842,NA,1,0,0.608,0.278756690086806,0.177777777777778
2,73102,"null","heteroscedastic","response","legacy",NA,0.479281180612458,NA,0,0,0.075,0.0687774779686544,0.168518518518519
2,73102,"null","heteroscedastic","response","count",NA,0.51153150233895,NA,0,0,0.075,0.100269866067719,0.168518518518519
2,73102,"null","heteroscedastic","response","explicit_precision",NA,0.512144493042611,NA,0,0,0.075,0.102276620728441,0.168518518518519
2,73102,"null","heteroscedastic","response","random_effects",NA,0.51153150233895,NA,0,0,0.075,0.100269866067719,0.168518518518519
2,73102,"null","heteroscedastic","response","iid_analytic",NA,0.419447111116776,NA,1,0,0.075,0.0687774779686544,0.168518518518519
2,73102,"null","heteroscedastic","response","covariance_analytic",NA,0.0268680158199286,NA,1,0,0.075,0.0687774779686544,0.168518518518519
2,73102,"null","heteroscedastic","response","split_half",NA,0.0844380754044942,NA,1,0,0.075,0.285034398534161,0.168518518518519
2,73103,"null","heteroscedastic","response","legacy",NA,0.489270411569281,NA,0,0,0.571,0.0687198000800942,0.169444444444444
2,73103,"null","heteroscedastic","response","count",NA,0.532705310759709,NA,0,0,0.571,0.10475189353488,0.169444444444444
2,73103,"null","heteroscedastic","response","explicit_precision",NA,0.533965533267314,NA,0,0,0.571,0.106767816612286,0.169444444444444
2,73103,"null","heteroscedastic","response","random_effects",NA,0.532705310759709,NA,0,0,0.571,0.10475189353488,0.169444444444444
2,73103,"null","heteroscedastic","response","iid_analytic",NA,0.505201345556383,NA,1,0,0.571,0.0687198000800942,0.169444444444444
2,73103,"null","heteroscedastic","response","covariance_analytic",NA,0.418062427362983,NA,1,0,0.571,0.0687198000800942,0.169444444444444
2,73103,"null","heteroscedastic","response","split_half",NA,0.519451570527584,NA,1,0,0.571,0.277486054203183,0.169444444444444
2,73104,"null","heteroscedastic","response","legacy",NA,0.588842932471244,NA,0,0,0.408,0.068962920249685,0.169444444444444
2,73104,"null","heteroscedastic","response","count",NA,0.599564572497966,NA,0,0,0.408,0.104417401808721,0.169444444444444
2,73104,"null","heteroscedastic","response","explicit_precision",NA,0.596479032217348,NA,0,0,0.408,0.105949589572976,0.169444444444444
2,73104,"null","heteroscedastic","response","random_effects",NA,0.599564572497966,NA,0,0,0.408,0.104417401808721,0.169444444444444
2,73104,"null","heteroscedastic","response","iid_analytic",NA,0.572520997906157,NA,1,0,0.408,0.068962920249685,0.169444444444444
2,73104,"null","heteroscedastic","response","covariance_analytic",NA,0.128645709653142,NA,1,0,0.408,0.068962920249685,0.169444444444444
2,73104,"null","heteroscedastic","response","split_half",NA,0.34155599285076,NA,1,0,0.408,0.289489352566995,0.169444444444444
2,73105,"null","heteroscedastic","response","legacy",NA,0.500459353138026,NA,0,0,0.552,0.066989770850065,0.15
2,73105,"null","heteroscedastic","response","count",NA,0.497928975975446,NA,0,0,0.552,0.100243067185536,0.15
2,73105,"null","heteroscedastic","response","explicit_precision",NA,0.502808208067501,NA,0,0,0.552,0.10053266848893,0.15
2,73105,"null","heteroscedastic","response","random_effects",NA,0.497928975975446,NA,0,0,0.552,0.100243067185536,0.15
2,73105,"null","heteroscedastic","response","iid_analytic",NA,0.444134536313646,NA,1,0,0.552,0.066989770850065,0.15
2,73105,"null","heteroscedastic","response","covariance_analytic",NA,0.0688441037834072,NA,1,0,0.552,0.066989770850065,0.15
2,73105,"null","heteroscedastic","response","split_half",NA,0.140760104461554,NA,1,0,0.552,0.273029316500265,0.15
2,73106,"null","heteroscedastic","response","legacy",NA,0.418256097397985,NA,0,0,0.712,0.0695629588276647,0.177777777777778
